"Step","perplexity_eval - Enron Emails","perplexity_eval - Enron Emails__MIN","perplexity_eval - Enron Emails__MAX"
"118","22.41580201399208","22.41580201399208","22.41580201399208"
"120","22.88542435051191","22.88542435051191","22.88542435051191"
"122","23.54869997194498","23.54869997194498","23.54869997194498"
"124","25.601117179417376","25.601117179417376","25.601117179417376"
"126","23.336538603754327","23.336538603754327","23.336538603754327"
"128","22.420531846155036","22.420531846155036","22.420531846155036"
"130","21.551924841002663","21.551924841002663","21.551924841002663"
"132","22.190599363157062","22.190599363157062","22.190599363157062"
"134","23.22118768998892","23.22118768998892","23.22118768998892"
"136","23.615599504319743","23.615599504319743","23.615599504319743"
"138","22.593425377052608","22.593425377052608","22.593425377052608"
"140","23.007490888562533","23.007490888562533","23.007490888562533"
"142","22.948644509645973","22.948644509645973","22.948644509645973"
"144","22.27163102721224","22.27163102721224","22.27163102721224"
"146","22.96449672089945","22.96449672089945","22.96449672089945"
"148","22.67867075464513","22.67867075464513","22.67867075464513"
"150","23.0263345885985","23.0263345885985","23.0263345885985"
"152","22.16492723557029","22.16492723557029","22.16492723557029"
"154","21.91043540156714","21.91043540156714","21.91043540156714"
"156","22.62389660766809","22.62389660766809","22.62389660766809"
"158","21.796897951329107","21.796897951329107","21.796897951329107"
"160","22.114767537494696","22.114767537494696","22.114767537494696"
"162","23.191119127226347","23.191119127226347","23.191119127226347"
"164","22.18193784432836","22.18193784432836","22.18193784432836"
"166","22.309269662894824","22.309269662894824","22.309269662894824"
"168","21.71173315414108","21.71173315414108","21.71173315414108"
"170","22.066263757483792","22.066263757483792","22.066263757483792"
"172","22.480741834286416","22.480741834286416","22.480741834286416"
"174","21.19815512305439","21.19815512305439","21.19815512305439"
"176","20.495512414922807","20.495512414922807","20.495512414922807"
"178","21.28339181878779","21.28339181878779","21.28339181878779"
"180","21.58947645000892","21.58947645000892","21.58947645000892"
"182","21.82069393785873","21.82069393785873","21.82069393785873"
"184","22.9603549560698","22.9603549560698","22.9603549560698"
"186","21.591337728972483","21.591337728972483","21.591337728972483"
"188","21.187173581595463","21.187173581595463","21.187173581595463"
"190","20.670296993704124","20.670296993704124","20.670296993704124"
"192","20.556257270468343","20.556257270468343","20.556257270468343"
"194","21.102222961954556","21.102222961954556","21.102222961954556"
"196","20.7556548780734","20.7556548780734","20.7556548780734"
"198","20.847545206074667","20.847545206074667","20.847545206074667"
"200","21.17637003790034","21.17637003790034","21.17637003790034"
"202","21.022973435940127","21.022973435940127","21.022973435940127"
"204","20.587082281443152","20.587082281443152","20.587082281443152"
"206","19.915904972104745","19.915904972104745","19.915904972104745"
"208","20.8452898926074","20.8452898926074","20.8452898926074"
"210","20.32461111510154","20.32461111510154","20.32461111510154"
"212","19.74080565636701","19.74080565636701","19.74080565636701"
"214","20.424156689289774","20.424156689289774","20.424156689289774"
"216","20.50707351512248","20.50707351512248","20.50707351512248"
"218","20.596967906290946","20.596967906290946","20.596967906290946"
"220","21.167790728394348","21.167790728394348","21.167790728394348"
"222","20.41042846311437","20.41042846311437","20.41042846311437"
"224","21.126568378434325","21.126568378434325","21.126568378434325"
"226","20.75259684760972","20.75259684760972","20.75259684760972"
"228","20.914090409137238","20.914090409137238","20.914090409137238"
"230","20.46340320724072","20.46340320724072","20.46340320724072"
"232","20.333901194888767","20.333901194888767","20.333901194888767"
"234","20.4497838412181","20.4497838412181","20.4497838412181"
"236","20.317569641783685","20.317569641783685","20.317569641783685"
"238","20.71816814819185","20.71816814819185","20.71816814819185"
"240","20.59439832727508","20.59439832727508","20.59439832727508"
"242","20.2363794895682","20.2363794895682","20.2363794895682"
"244","20.035371599339022","20.035371599339022","20.035371599339022"
"246","20.51239391671549","20.51239391671549","20.51239391671549"
"248","20.29600023137461","20.29600023137461","20.29600023137461"
"250","20.198102127207388","20.198102127207388","20.198102127207388"
"252","20.35401082463784","20.35401082463784","20.35401082463784"
"254","20.30329083251481","20.30329083251481","20.30329083251481"
"256","20.323814232750696","20.323814232750696","20.323814232750696"
"258","20.765915653965266","20.765915653965266","20.765915653965266"
"260","20.90465873373617","20.90465873373617","20.90465873373617"
"262","21.190126872062685","21.190126872062685","21.190126872062685"
"264","20.51139608161284","20.51139608161284","20.51139608161284"
"266","20.19763836258709","20.19763836258709","20.19763836258709"
"268","20.5690979328486","20.5690979328486","20.5690979328486"
"270","20.82476549585267","20.82476549585267","20.82476549585267"
"272","20.432696055539765","20.432696055539765","20.432696055539765"
"274","20.129030277823457","20.129030277823457","20.129030277823457"
"276","20.38770314112748","20.38770314112748","20.38770314112748"
"278","20.804041306335147","20.804041306335147","20.804041306335147"
"280","19.95686599724364","19.95686599724364","19.95686599724364"
"282","20.29398076475257","20.29398076475257","20.29398076475257"
"284","21.12962789051604","21.12962789051604","21.12962789051604"
"286","21.03249896776558","21.03249896776558","21.03249896776558"
"288","21.67921245357778","21.67921245357778","21.67921245357778"
"290","20.266499770513857","20.266499770513857","20.266499770513857"
"292","20.75585421972936","20.75585421972936","20.75585421972936"
"294","20.402267496302574","20.402267496302574","20.402267496302574"
"296","20.11485100217385","20.11485100217385","20.11485100217385"
"298","20.31307366437251","20.31307366437251","20.31307366437251"
"300","20.02566810456833","20.02566810456833","20.02566810456833"
"302","20.294954585911025","20.294954585911025","20.294954585911025"
"304","19.700107425510293","19.700107425510293","19.700107425510293"
"306","20.56670110025028","20.56670110025028","20.56670110025028"
"308","20.731921938386293","20.731921938386293","20.731921938386293"
"310","20.104697882893063","20.104697882893063","20.104697882893063"
"312","20.06910934011535","20.06910934011535","20.06910934011535"
"314","19.53792689814426","19.53792689814426","19.53792689814426"
"316","19.96211247302518","19.96211247302518","19.96211247302518"
"318","20.667377506742383","20.667377506742383","20.667377506742383"
"320","19.89966110002877","19.89966110002877","19.89966110002877"
"322","20.11736125934242","20.11736125934242","20.11736125934242"
"324","20.322602438100493","20.322602438100493","20.322602438100493"
"326","19.35003817588976","19.35003817588976","19.35003817588976"
"328","19.32745245329224","19.32745245329224","19.32745245329224"
"330","19.818771027338386","19.818771027338386","19.818771027338386"
"332","20.40135569442617","20.40135569442617","20.40135569442617"
"334","19.66590859878181","19.66590859878181","19.66590859878181"
"336","20.32770670923856","20.32770670923856","20.32770670923856"
"338","20.00863015167784","20.00863015167784","20.00863015167784"
"340","20.268549561264493","20.268549561264493","20.268549561264493"
"342","20.26056545134818","20.26056545134818","20.26056545134818"
"344","19.92945624235833","19.92945624235833","19.92945624235833"
"346","20.20758436646792","20.20758436646792","20.20758436646792"
"348","19.90018231750715","19.90018231750715","19.90018231750715"
"350","19.85802617639598","19.85802617639598","19.85802617639598"
"352","19.873954610541315","19.873954610541315","19.873954610541315"
"354","19.623000482639466","19.623000482639466","19.623000482639466"
