"Step","perplexity_eval - DM Mathematics","perplexity_eval - DM Mathematics__MIN","perplexity_eval - DM Mathematics__MAX"
"74","16.951235689308096","16.951235689308096","16.951235689308096"
"76","16.892690314834745","16.892690314834745","16.892690314834745"
"78","16.52259542381354","16.52259542381354","16.52259542381354"
"80","17.236228421501018","17.236228421501018","17.236228421501018"
"82","16.502407288328047","16.502407288328047","16.502407288328047"
"84","16.863599546742115","16.863599546742115","16.863599546742115"
"86","16.40266037061733","16.40266037061733","16.40266037061733"
"88","16.575588036526256","16.575588036526256","16.575588036526256"
"90","16.215435651288942","16.215435651288942","16.215435651288942"
"92","17.59339306902811","17.59339306902811","17.59339306902811"
"94","16.901462373822834","16.901462373822834","16.901462373822834"
"96","16.79817586002191","16.79817586002191","16.79817586002191"
"98","17.291533397710285","17.291533397710285","17.291533397710285"
"100","16.23768763810117","16.23768763810117","16.23768763810117"
"102","17.729232309760214","17.729232309760214","17.729232309760214"
"104","16.611320079551405","16.611320079551405","16.611320079551405"
"106","17.09883012446603","17.09883012446603","17.09883012446603"
"108","17.339693830114992","17.339693830114992","17.339693830114992"
"110","17.315135884607496","17.315135884607496","17.315135884607496"
"112","16.432388638854647","16.432388638854647","16.432388638854647"
"114","16.411856659865403","16.411856659865403","16.411856659865403"
"116","17.099959984778366","17.099959984778366","17.099959984778366"
"118","16.680331951621667","16.680331951621667","16.680331951621667"
"120","17.450144835739057","17.450144835739057","17.450144835739057"
"122","17.03636511059383","17.03636511059383","17.03636511059383"
"124","17.504349274640276","17.504349274640276","17.504349274640276"
"126","16.55691932416235","16.55691932416235","16.55691932416235"
"128","16.892556144345193","16.892556144345193","16.892556144345193"
"130","16.21065697287918","16.21065697287918","16.21065697287918"
"132","17.21903733433099","17.21903733433099","17.21903733433099"
"134","17.52690276122118","17.52690276122118","17.52690276122118"
"136","17.477262345114557","17.477262345114557","17.477262345114557"
"138","16.29904890085234","16.29904890085234","16.29904890085234"
"140","16.9611221751611","16.9611221751611","16.9611221751611"
"142","16.572124607233054","16.572124607233054","16.572124607233054"
"144","16.858628764484973","16.858628764484973","16.858628764484973"
"146","17.059300281502825","17.059300281502825","17.059300281502825"
"148","16.341636750502094","16.341636750502094","16.341636750502094"
"150","16.716419745310287","16.716419745310287","16.716419745310287"
"152","16.898895723142434","16.898895723142434","16.898895723142434"
"154","16.921738807294172","16.921738807294172","16.921738807294172"
"156","16.857108992418812","16.857108992418812","16.857108992418812"
"158","17.102135679352173","17.102135679352173","17.102135679352173"
"160","17.14201668670845","17.14201668670845","17.14201668670845"
"162","17.350977083646793","17.350977083646793","17.350977083646793"
"164","17.37531871937068","17.37531871937068","17.37531871937068"
"166","17.87124611063629","17.87124611063629","17.87124611063629"
"168","17.418042104772674","17.418042104772674","17.418042104772674"
"170","17.55085911859955","17.55085911859955","17.55085911859955"
"172","17.77086914912967","17.77086914912967","17.77086914912967"
"174","17.119915442337728","17.119915442337728","17.119915442337728"
"176","16.988466528774424","16.988466528774424","16.988466528774424"
"178","17.23597113001979","17.23597113001979","17.23597113001979"
"180","17.040213837459856","17.040213837459856","17.040213837459856"
"182","17.569842239572402","17.569842239572402","17.569842239572402"
"184","17.547132357598343","17.547132357598343","17.547132357598343"
"186","17.915375239146982","17.915375239146982","17.915375239146982"
"188","17.663660400988036","17.663660400988036","17.663660400988036"
"190","16.91869890044805","16.91869890044805","16.91869890044805"
"192","16.903650253297883","16.903650253297883","16.903650253297883"
"194","17.268609918243058","17.268609918243058","17.268609918243058"
"196","17.033835142881887","17.033835142881887","17.033835142881887"
"198","16.692996301710544","16.692996301710544","16.692996301710544"
"200","16.984579437605177","16.984579437605177","16.984579437605177"
"202","17.107196177950016","17.107196177950016","17.107196177950016"
"204","16.743434508931003","16.743434508931003","16.743434508931003"
"206","16.630874329377413","16.630874329377413","16.630874329377413"
"208","17.137898417590932","17.137898417590932","17.137898417590932"
"210","16.970335566910695","16.970335566910695","16.970335566910695"
"212","16.914611407298825","16.914611407298825","16.914611407298825"
"214","16.950617610105738","16.950617610105738","16.950617610105738"
"216","16.84206707941506","16.84206707941506","16.84206707941506"
"218","16.88248816712466","16.88248816712466","16.88248816712466"
"220","16.647862621450276","16.647862621450276","16.647862621450276"
"222","16.87631196881432","16.87631196881432","16.87631196881432"
"224","17.13520005267815","17.13520005267815","17.13520005267815"
"226","16.780172872989905","16.780172872989905","16.780172872989905"
"228","17.09726939117003","17.09726939117003","17.09726939117003"
"230","16.706351036583843","16.706351036583843","16.706351036583843"
"232","16.848621257758165","16.848621257758165","16.848621257758165"
"234","16.954912875867162","16.954912875867162","16.954912875867162"
"236","16.67671819569293","16.67671819569293","16.67671819569293"
"238","16.609411294700948","16.609411294700948","16.609411294700948"
"240","16.989598356350154","16.989598356350154","16.989598356350154"
"242","16.873381848513894","16.873381848513894","16.873381848513894"
"244","16.678049067676874","16.678049067676874","16.678049067676874"
"246","16.80612424744776","16.80612424744776","16.80612424744776"
"248","16.507526973159703","16.507526973159703","16.507526973159703"
"250","16.245813502729497","16.245813502729497","16.245813502729497"
"252","16.351739546882996","16.351739546882996","16.351739546882996"
"254","16.412901421491362","16.412901421491362","16.412901421491362"
"256","16.749829296142824","16.749829296142824","16.749829296142824"
"258","16.6137523156175","16.6137523156175","16.6137523156175"
"260","17.40343618268897","17.40343618268897","17.40343618268897"
"262","17.066161100375666","17.066161100375666","17.066161100375666"
"264","16.78443017673294","16.78443017673294","16.78443017673294"
"266","16.815598958488806","16.815598958488806","16.815598958488806"
"268","17.24321395772801","17.24321395772801","17.24321395772801"
"270","17.32358838107658","17.32358838107658","17.32358838107658"
"272","16.919689158371163","16.919689158371163","16.919689158371163"
"274","16.86966611803136","16.86966611803136","16.86966611803136"
"276","17.55794270428113","17.55794270428113","17.55794270428113"
"278","16.827536081672335","16.827536081672335","16.827536081672335"
"280","16.8718598408704","16.8718598408704","16.8718598408704"
"282","16.786180592724484","16.786180592724484","16.786180592724484"
"284","17.375010711345414","17.375010711345414","17.375010711345414"
"286","17.62097565961554","17.62097565961554","17.62097565961554"
"288","17.57925112463309","17.57925112463309","17.57925112463309"
"290","17.075407373049256","17.075407373049256","17.075407373049256"
"292","17.314525864250825","17.314525864250825","17.314525864250825"
"294","17.136648104168497","17.136648104168497","17.136648104168497"
"296","17.15996022800005","17.15996022800005","17.15996022800005"
"298","17.025717568447142","17.025717568447142","17.025717568447142"
"300","16.779623656689687","16.779623656689687","16.779623656689687"
"302","17.089651417037576","17.089651417037576","17.089651417037576"
"304","17.01799566018842","17.01799566018842","17.01799566018842"
"306","17.066499881268044","17.066499881268044","17.066499881268044"
"308","16.66318070950543","16.66318070950543","16.66318070950543"
"310","16.550016115781048","16.550016115781048","16.550016115781048"
"312","16.362393292006296","16.362393292006296","16.362393292006296"
"314","16.42614280296786","16.42614280296786","16.42614280296786"
"316","16.781197756559866","16.781197756559866","16.781197756559866"
"318","16.377550121896846","16.377550121896846","16.377550121896846"
"320","16.48114132905974","16.48114132905974","16.48114132905974"
"322","16.514378121442526","16.514378121442526","16.514378121442526"
"324","16.51631168061315","16.51631168061315","16.51631168061315"
"326","16.141052250559447","16.141052250559447","16.141052250559447"
"328","16.33458909916456","16.33458909916456","16.33458909916456"
"330","16.314603140773436","16.314603140773436","16.314603140773436"
"332","16.369408042944432","16.369408042944432","16.369408042944432"
"334","16.3974284150722","16.3974284150722","16.3974284150722"
"336","16.452644923599156","16.452644923599156","16.452644923599156"
"338","16.730484150698977","16.730484150698977","16.730484150698977"
"340","16.92269877439731","16.92269877439731","16.92269877439731"
"342","16.40964923031496","16.40964923031496","16.40964923031496"
"344","16.648814497579522","16.648814497579522","16.648814497579522"
"346","16.924182954861642","16.924182954861642","16.924182954861642"
"348","16.90339433712716","16.90339433712716","16.90339433712716"
"350","16.627144722114863","16.627144722114863","16.627144722114863"
"352","16.382256781521498","16.382256781521498","16.382256781521498"
"354","16.582532186413903","16.582532186413903","16.582532186413903"
