"Step","perplexity_eval - FreeLaw","perplexity_eval - FreeLaw__MIN","perplexity_eval - FreeLaw__MAX"
"254","6.93855297593504","6.93855297593504","6.93855297593504"
"256","6.9796835507301465","6.9796835507301465","6.9796835507301465"
"258","6.929792512073117","6.929792512073117","6.929792512073117"
"260","7.28225121528956","7.28225121528956","7.28225121528956"
"262","7.403329608581085","7.403329608581085","7.403329608581085"
"264","7.456680780344209","7.456680780344209","7.456680780344209"
"266","7.208014300420597","7.208014300420597","7.208014300420597"
"268","7.486147667141293","7.486147667141293","7.486147667141293"
"270","7.32732062102813","7.32732062102813","7.32732062102813"
"272","7.403980751547993","7.403980751547993","7.403980751547993"
"274","7.038866269497328","7.038866269497328","7.038866269497328"
"276","7.2567105891073105","7.2567105891073105","7.2567105891073105"
"278","7.123396718859603","7.123396718859603","7.123396718859603"
"280","7.263390375735408","7.263390375735408","7.263390375735408"
"282","7.075605579297512","7.075605579297512","7.075605579297512"
"284","7.183722960881172","7.183722960881172","7.183722960881172"
"286","7.288890864002637","7.288890864002637","7.288890864002637"
"288","7.100926143144818","7.100926143144818","7.100926143144818"
"290","6.915890927736349","6.915890927736349","6.915890927736349"
"292","7.127537107916352","7.127537107916352","7.127537107916352"
"294","7.2871314236940625","7.2871314236940625","7.2871314236940625"
"296","7.162861465589834","7.162861465589834","7.162861465589834"
"298","7.279683011673264","7.279683011673264","7.279683011673264"
"300","7.024254606696022","7.024254606696022","7.024254606696022"
"302","7.078821139694592","7.078821139694592","7.078821139694592"
"304","7.104876696794694","7.104876696794694","7.104876696794694"
"306","6.899551835580798","6.899551835580798","6.899551835580798"
"308","6.867784061050489","6.867784061050489","6.867784061050489"
"310","6.960470578829884","6.960470578829884","6.960470578829884"
"312","6.806122696275829","6.806122696275829","6.806122696275829"
"314","6.684306099984581","6.684306099984581","6.684306099984581"
"316","6.722985743377938","6.722985743377938","6.722985743377938"
"318","6.768924404069317","6.768924404069317","6.768924404069317"
"320","6.81437857626373","6.81437857626373","6.81437857626373"
"322","6.826828930359731","6.826828930359731","6.826828930359731"
"324","7.024805963985875","7.024805963985875","7.024805963985875"
"326","6.723328175252149","6.723328175252149","6.723328175252149"
"328","6.847525506715077","6.847525506715077","6.847525506715077"
"330","6.926872727731189","6.926872727731189","6.926872727731189"
"332","6.870841289870624","6.870841289870624","6.870841289870624"
"334","6.662322210251316","6.662322210251316","6.662322210251316"
"336","6.764645345817241","6.764645345817241","6.764645345817241"
"338","6.914565966541079","6.914565966541079","6.914565966541079"
"340","6.7058846710523285","6.7058846710523285","6.7058846710523285"
"342","6.760373076535374","6.760373076535374","6.760373076535374"
"344","6.777773861580329","6.777773861580329","6.777773861580329"
"346","6.747499952407893","6.747499952407893","6.747499952407893"
"348","6.824274596712725","6.824274596712725","6.824274596712725"
"350","6.729915002845498","6.729915002845498","6.729915002845498"
"352","6.772315982462635","6.772315982462635","6.772315982462635"
"354","6.822968126628661","6.822968126628661","6.822968126628661"
