"Step","perplexity_eval - StackExchange","perplexity_eval - StackExchange__MIN","perplexity_eval - StackExchange__MAX"
"302","18.986785943618496","18.986785943618496","18.986785943618496"
"304","19.131220402840967","19.131220402840967","19.131220402840967"
"306","20.68614134622755","20.68614134622755","20.68614134622755"
"308","20.445873557606934","20.445873557606934","20.445873557606934"
"310","20.864931459980664","20.864931459980664","20.864931459980664"
"312","19.97690318828276","19.97690318828276","19.97690318828276"
"314","19.46963246146987","19.46963246146987","19.46963246146987"
"316","19.28611035800308","19.28611035800308","19.28611035800308"
"318","18.309764184414323","18.309764184414323","18.309764184414323"
"320","19.06990110696017","19.06990110696017","19.06990110696017"
"322","19.10249157594374","19.10249157594374","19.10249157594374"
"324","18.934167055923886","18.934167055923886","18.934167055923886"
"326","18.05694491344158","18.05694491344158","18.05694491344158"
"328","17.722211835751516","17.722211835751516","17.722211835751516"
"330","18.305927186684404","18.305927186684404","18.305927186684404"
"332","19.07226673174944","19.07226673174944","19.07226673174944"
"334","17.56027651278134","17.56027651278134","17.56027651278134"
"336","18.62526896314001","18.62526896314001","18.62526896314001"
"338","19.46682717082954","19.46682717082954","19.46682717082954"
"340","19.15462364375972","19.15462364375972","19.15462364375972"
"342","18.36165944666143","18.36165944666143","18.36165944666143"
"344","18.74082830814151","18.74082830814151","18.74082830814151"
"346","19.02542026289849","19.02542026289849","19.02542026289849"
"348","19.22001041557015","19.22001041557015","19.22001041557015"
"350","18.450077089957908","18.450077089957908","18.450077089957908"
"352","18.67087210325046","18.67087210325046","18.67087210325046"
"354","18.46602284329868","18.46602284329868","18.46602284329868"
