"Step","downstream_eval - phsychology","downstream_eval - phsychology__MIN","downstream_eval - phsychology__MAX"
"112","25.478677265896675","25.478677265896675","25.478677265896675"
"114","23.17238579256433","23.17238579256433","23.17238579256433"
"116","23.964805179567293","23.964805179567293","23.964805179567293"
"118","24.419244801047782","24.419244801047782","24.419244801047782"
"120","22.74610733711511","22.74610733711511","22.74610733711511"
"122","23.880446794742983","23.880446794742983","23.880446794742983"
"124","24.737069124013342","24.737069124013342","24.737069124013342"
"126","24.956858045721578","24.956858045721578","24.956858045721578"
"128","23.02872142935502","23.02872142935502","23.02872142935502"
"130","22.978741729745877","22.978741729745877","22.978741729745877"
"132","23.53900505350805","23.53900505350805","23.53900505350805"
"134","23.40143309621317","23.40143309621317","23.40143309621317"
"136","24.06578913440079","24.06578913440079","24.06578913440079"
"138","25.300566320636932","25.300566320636932","25.300566320636932"
"140","24.458110017590617","24.458110017590617","24.458110017590617"
"142","25.274204039297164","25.274204039297164","25.274204039297164"
"144","24.7541158069783","24.7541158069783","24.7541158069783"
"146","23.067108316507888","23.067108316507888","23.067108316507888"
"148","26.0071816542446","26.0071816542446","26.0071816542446"
"150","24.81024512893609","24.81024512893609","24.81024512893609"
"152","24.496075791787717","24.496075791787717","24.496075791787717"
"154","23.25011622565002","23.25011622565002","23.25011622565002"
"156","25.482196458043344","25.482196458043344","25.482196458043344"
"158","23.756744863985855","23.756744863985855","23.756744863985855"
"160","26.613427156079265","26.613427156079265","26.613427156079265"
"162","26.35759645813489","26.35759645813489","26.35759645813489"
"164","22.162647708039334","22.162647708039334","22.162647708039334"
"166","24.087607667978677","24.087607667978677","24.087607667978677"
"168","24.943398451738545","24.943398451738545","24.943398451738545"
"170","24.076425288077118","24.076425288077118","24.076425288077118"
"172","24.790703809439673","24.790703809439673","24.790703809439673"
"174","25.620542744414497","25.620542744414497","25.620542744414497"
"176","28.501856329991437","28.501856329991437","28.501856329991437"
"178","25.343792955237983","25.343792955237983","25.343792955237983"
"180","26.881692892391452","26.881692892391452","26.881692892391452"
"182","24.04467703306393","24.04467703306393","24.04467703306393"
"184","23.771514332869344","23.771514332869344","23.771514332869344"
"186","26.178596750930456","26.178596750930456","26.178596750930456"
"188","23.76481848429546","23.76481848429546","23.76481848429546"
"190","24.95858903357781","24.95858903357781","24.95858903357781"
"192","24.4755671331103","24.4755671331103","24.4755671331103"
"194","24.451414169016733","24.451414169016733","24.451414169016733"
"196","26.696886098557826","26.696886098557826","26.696886098557826"
"198","24.988413290630035","24.988413290630035","24.988413290630035"
"200","23.81569762625035","23.81569762625035","23.81569762625035"
"202","25.183081909063713","25.183081909063713","25.183081909063713"
"204","25.575527905523007","25.575527905523007","25.575527905523007"
"206","24.90370168968522","24.90370168968522","24.90370168968522"
"208","26.087121404576493","26.087121404576493","26.087121404576493"
"210","24.69378527297808","24.69378527297808","24.69378527297808"
"212","23.367054410998005","23.367054410998005","23.367054410998005"
"214","22.422964937311388","22.422964937311388","22.422964937311388"
"216","23.41309380550471","23.41309380550471","23.41309380550471"
"218","24.961822906439227","24.961822906439227","24.961822906439227"
"220","26.723316276732856","26.723316276732856","26.723316276732856"
"222","24.14656043024317","24.14656043024317","24.14656043024317"
"224","26.20143984012355","26.20143984012355","26.20143984012355"
"226","23.919722443840545","23.919722443840545","23.919722443840545"
"228","26.686249944881506","26.686249944881506","26.686249944881506"
"230","24.317964846527975","24.317964846527975","24.317964846527975"
"232","23.03631672027465","23.03631672027465","23.03631672027465"
"234","22.93545787871062","22.93545787871062","22.93545787871062"
"236","22.146147251299613","22.146147251299613","22.146147251299613"
"238","24.080911819404793","24.080911819404793","24.080911819404793"
"240","23.63627680609015","23.63627680609015","23.63627680609015"
"242","25.755073838952672","25.755073838952672","25.755073838952672"
"244","24.414051837479082","24.414051837479082","24.414051837479082"
"246","24.06303359092935","24.06303359092935","24.06303359092935"
"248","24.686257878893713","24.686257878893713","24.686257878893713"
"250","23.48363938022548","23.48363938022548","23.48363938022548"
"252","27.219729874348133","27.219729874348133","27.219729874348133"
"254","25.792493386924537","25.792493386924537","25.792493386924537"
"256","24.350612543886914","24.350612543886914","24.350612543886914"
"258","25.525605422348068","25.525605422348068","25.525605422348068"
"260","23.714417671730548","23.714417671730548","23.714417671730548"
"262","23.98453950916844","23.98453950916844","23.98453950916844"
"264","24.769295708416507","24.769295708416507","24.769295708416507"
"266","25.217164594592575","25.217164594592575","25.217164594592575"
"268","25.87123769522438","25.87123769522438","25.87123769522438"
"270","24.89520695641984","24.89520695641984","24.89520695641984"
"272","25.885403721448426","25.885403721448426","25.885403721448426"
"274","23.65498658007608","23.65498658007608","23.65498658007608"
"276","26.213578878805066","26.213578878805066","26.213578878805066"
"278","24.08533045389721","24.08533045389721","24.08533045389721"
"280","26.985364493861137","26.985364493861137","26.985364493861137"
"282","24.568409570798924","24.568409570798924","24.568409570798924"
"284","23.00331580679521","23.00331580679521","23.00331580679521"
"286","25.515743597748024","25.515743597748024","25.515743597748024"
"288","28.75415715538809","28.75415715538809","28.75415715538809"
"290","25.419781720066386","25.419781720066386","25.419781720066386"
"292","25.35592131351844","25.35592131351844","25.35592131351844"
"294","28.127356458842844","28.127356458842844","28.127356458842844"
"296","26.257283842796095","26.257283842796095","26.257283842796095"
"298","27.148284857281613","27.148284857281613","27.148284857281613"
"300","27.090709866752842","27.090709866752842","27.090709866752842"
"302","26.06841163059056","26.06841163059056","26.06841163059056"
"304","29.38276741702587","29.38276741702587","29.38276741702587"
"306","27.84564180894868","27.84564180894868","27.84564180894868"
"308","25.415716301694477","25.415716301694477","25.415716301694477"
"310","25.959125952596413","25.959125952596413","25.959125952596413"
"312","24.20288276230569","24.20288276230569","24.20288276230569"
"314","24.29476854121437","24.29476854121437","24.29476854121437"
"316","27.929579080817224","27.929579080817224","27.929579080817224"
"318","25.70502624250827","25.70502624250827","25.70502624250827"
"320","28.240354339088388","28.240354339088388","28.240354339088388"
"322","27.15814668188166","27.15814668188166","27.15814668188166"
"324","27.787167376074166","27.787167376074166","27.787167376074166"
"326","27.43945089922111","27.43945089922111","27.43945089922111"
"328","28.371879663616195","28.371879663616195","28.371879663616195"
"330","28.17919225957769","28.17919225957769","28.17919225957769"
"332","27.82154606128933","27.82154606128933","27.82154606128933"
"334","29.07372314661093","29.07372314661093","29.07372314661093"
"336","26.590230850765654","26.590230850765654","26.590230850765654"
"338","27.221585975473833","27.221585975473833","27.221585975473833"
"340","29.20149049573997","29.20149049573997","29.20149049573997"
"342","29.686721713453693","29.686721713453693","29.686721713453693"
"344","30.075159507975286","30.075159507975286","30.075159507975286"
"346","29.715657208561225","29.715657208561225","29.715657208561225"
"348","29.15055413735087","29.15055413735087","29.15055413735087"
"350","28.960725266365387","28.960725266365387","28.960725266365387"
"352","30.678706682772713","30.678706682772713","30.678706682772713"
"354","28.383187156787226","28.383187156787226","28.383187156787226"
