"Step","downstream_eval - piqa","downstream_eval - piqa__MIN","downstream_eval - piqa__MAX"
"80","77.6931447225245","77.6931447225245","77.6931447225245"
"82","77.36670293797606","77.36670293797606","77.36670293797606"
"84","77.20348204570186","77.20348204570186","77.20348204570186"
"86","76.6594124047878","76.6594124047878","76.6594124047878"
"88","77.09466811751903","77.09466811751903","77.09466811751903"
"90","77.04026115342764","77.04026115342764","77.04026115342764"
"92","77.42110990206747","77.42110990206747","77.42110990206747"
"94","77.47551686615887","77.47551686615887","77.47551686615887"
"96","77.14907508161045","77.14907508161045","77.14907508161045"
"98","77.9107725788901","77.9107725788901","77.9107725788901"
"100","76.82263329706203","76.82263329706203","76.82263329706203"
"102","77.85636561479869","77.85636561479869","77.85636561479869"
"104","77.25788900979326","77.25788900979326","77.25788900979326"
"106","76.82263329706203","76.82263329706203","76.82263329706203"
"108","77.9107725788901","77.9107725788901","77.9107725788901"
"110","77.42110990206747","77.42110990206747","77.42110990206747"
"112","77.85636561479869","77.85636561479869","77.85636561479869"
"114","77.42110990206747","77.42110990206747","77.42110990206747"
"116","77.58433079434167","77.58433079434167","77.58433079434167"
"118","76.98585418933624","76.98585418933624","76.98585418933624"
"120","77.14907508161045","77.14907508161045","77.14907508161045"
"122","77.9107725788901","77.9107725788901","77.9107725788901"
"124","77.85636561479869","77.85636561479869","77.85636561479869"
"126","76.76822633297063","76.76822633297063","76.76822633297063"
"128","77.58433079434167","77.58433079434167","77.58433079434167"
"130","78.0739934711643","78.0739934711643","78.0739934711643"
"132","77.25788900979326","77.25788900979326","77.25788900979326"
"134","77.31229597388466","77.31229597388466","77.31229597388466"
"136","78.34602829162132","78.34602829162132","78.34602829162132"
"138","76.87704026115343","76.87704026115343","76.87704026115343"
"140","77.6931447225245","77.6931447225245","77.6931447225245"
"142","78.18280739934713","78.18280739934713","78.18280739934713"
"144","77.6931447225245","77.6931447225245","77.6931447225245"
"146","78.50924918389553","78.50924918389553","78.50924918389553"
"148","78.34602829162132","78.34602829162132","78.34602829162132"
"150","78.0195865070729","78.0195865070729","78.0195865070729"
"152","77.9107725788901","77.9107725788901","77.9107725788901"
"154","77.85636561479869","77.85636561479869","77.85636561479869"
"156","78.78128400435256","78.78128400435256","78.78128400435256"
"158","78.12840043525571","78.12840043525571","78.12840043525571"
"160","78.0739934711643","78.0739934711643","78.0739934711643"
"162","78.0195865070729","78.0195865070729","78.0195865070729"
"164","78.34602829162132","78.34602829162132","78.34602829162132"
"166","77.6931447225245","77.6931447225245","77.6931447225245"
"168","77.42110990206747","77.42110990206747","77.42110990206747"
"170","77.9651795429815","77.9651795429815","77.9651795429815"
"172","77.63873775843308","77.63873775843308","77.63873775843308"
"174","77.80195865070729","77.80195865070729","77.80195865070729"
"176","77.85636561479869","77.85636561479869","77.85636561479869"
"178","77.6931447225245","77.6931447225245","77.6931447225245"
"180","78.29162132752992","78.29162132752992","78.29162132752992"
"182","78.34602829162132","78.34602829162132","78.34602829162132"
"184","77.74755168661589","77.74755168661589","77.74755168661589"
"186","78.0739934711643","78.0739934711643","78.0739934711643"
"188","78.40043525571274","78.40043525571274","78.40043525571274"
"190","78.18280739934713","78.18280739934713","78.18280739934713"
"192","77.9107725788901","77.9107725788901","77.9107725788901"
"194","77.85636561479869","77.85636561479869","77.85636561479869"
"196","78.0195865070729","78.0195865070729","78.0195865070729"
"198","78.94450489662677","78.94450489662677","78.94450489662677"
"200","78.61806311207835","78.61806311207835","78.61806311207835"
"202","77.9651795429815","77.9651795429815","77.9651795429815"
"204","78.34602829162132","78.34602829162132","78.34602829162132"
"206","78.23721436343853","78.23721436343853","78.23721436343853"
"208","79.10772578890098","79.10772578890098","79.10772578890098"
"210","78.34602829162132","78.34602829162132","78.34602829162132"
"212","78.72687704026116","78.72687704026116","78.72687704026116"
"214","78.34602829162132","78.34602829162132","78.34602829162132"
"216","78.0195865070729","78.0195865070729","78.0195865070729"
"218","78.45484221980414","78.45484221980414","78.45484221980414"
"220","78.34602829162132","78.34602829162132","78.34602829162132"
"222","78.61806311207835","78.61806311207835","78.61806311207835"
"224","78.67247007616976","78.67247007616976","78.67247007616976"
"226","78.45484221980414","78.45484221980414","78.45484221980414"
"228","78.45484221980414","78.45484221980414","78.45484221980414"
"230","77.9651795429815","77.9651795429815","77.9651795429815"
"232","77.9107725788901","77.9107725788901","77.9107725788901"
"234","78.78128400435256","78.78128400435256","78.78128400435256"
"236","78.0195865070729","78.0195865070729","78.0195865070729"
"238","78.12840043525571","78.12840043525571","78.12840043525571"
"240","78.61806311207835","78.61806311207835","78.61806311207835"
"242","78.12840043525571","78.12840043525571","78.12840043525571"
"244","78.18280739934713","78.18280739934713","78.18280739934713"
"246","78.94450489662677","78.94450489662677","78.94450489662677"
"248","78.45484221980414","78.45484221980414","78.45484221980414"
"250","78.18280739934713","78.18280739934713","78.18280739934713"
"252","78.67247007616976","78.67247007616976","78.67247007616976"
"254","78.50924918389553","78.50924918389553","78.50924918389553"
"256","78.83569096844396","78.83569096844396","78.83569096844396"
"258","78.40043525571274","78.40043525571274","78.40043525571274"
"260","77.74755168661589","77.74755168661589","77.74755168661589"
"262","78.23721436343853","78.23721436343853","78.23721436343853"
"264","78.0739934711643","78.0739934711643","78.0739934711643"
"266","77.9651795429815","77.9651795429815","77.9651795429815"
"268","78.23721436343853","78.23721436343853","78.23721436343853"
"270","78.40043525571274","78.40043525571274","78.40043525571274"
"272","78.61806311207835","78.61806311207835","78.61806311207835"
"274","78.50924918389553","78.50924918389553","78.50924918389553"
"276","78.89009793253537","78.89009793253537","78.89009793253537"
"278","78.61806311207835","78.61806311207835","78.61806311207835"
"280","78.34602829162132","78.34602829162132","78.34602829162132"
"282","78.34602829162132","78.34602829162132","78.34602829162132"
"284","78.40043525571274","78.40043525571274","78.40043525571274"
"286","78.89009793253537","78.89009793253537","78.89009793253537"
"288","78.45484221980414","78.45484221980414","78.45484221980414"
"290","77.6931447225245","77.6931447225245","77.6931447225245"
"292","78.12840043525571","78.12840043525571","78.12840043525571"
"294","78.78128400435256","78.78128400435256","78.78128400435256"
"296","78.89009793253537","78.89009793253537","78.89009793253537"
"298","78.61806311207835","78.61806311207835","78.61806311207835"
"300","79.16213275299239","79.16213275299239","79.16213275299239"
"302","78.94450489662677","78.94450489662677","78.94450489662677"
"304","78.78128400435256","78.78128400435256","78.78128400435256"
"306","78.34602829162132","78.34602829162132","78.34602829162132"
"308","78.83569096844396","78.83569096844396","78.83569096844396"
"310","78.56365614798693","78.56365614798693","78.56365614798693"
"312","79.05331882480957","79.05331882480957","79.05331882480957"
"314","79.32535364526659","79.32535364526659","79.32535364526659"
"316","79.27094668117519","79.27094668117519","79.27094668117519"
"318","79.379760609358","79.379760609358","79.379760609358"
"320","78.94450489662677","78.94450489662677","78.94450489662677"
"322","79.21653971708379","79.21653971708379","79.21653971708379"
"324","79.16213275299239","79.16213275299239","79.16213275299239"
"326","78.83569096844396","78.83569096844396","78.83569096844396"
"328","79.10772578890098","79.10772578890098","79.10772578890098"
"330","79.16213275299239","79.16213275299239","79.16213275299239"
"332","78.99891186071817","78.99891186071817","78.99891186071817"
"334","79.4885745375408","79.4885745375408","79.4885745375408"
"336","78.61806311207835","78.61806311207835","78.61806311207835"
"338","79.21653971708379","79.21653971708379","79.21653971708379"
"340","79.21653971708379","79.21653971708379","79.21653971708379"
"342","79.10772578890098","79.10772578890098","79.10772578890098"
"344","78.67247007616976","78.67247007616976","78.67247007616976"
"346","79.4341675734494","79.4341675734494","79.4341675734494"
"348","79.21653971708379","79.21653971708379","79.21653971708379"
"350","79.05331882480957","79.05331882480957","79.05331882480957"
"352","78.83569096844396","78.83569096844396","78.83569096844396"
"354","79.4341675734494","79.4341675734494","79.4341675734494"
