"Step","perplexity_eval - PubMed Abstracts","perplexity_eval - PubMed Abstracts__MIN","perplexity_eval - PubMed Abstracts__MAX"
"324","10.785501862090651","10.785501862090651","10.785501862090651"
"326","10.71893946373616","10.71893946373616","10.71893946373616"
"328","10.502990786920405","10.502990786920405","10.502990786920405"
"330","10.60492817131766","10.60492817131766","10.60492817131766"
"332","10.77871347693102","10.77871347693102","10.77871347693102"
"334","10.79302347981226","10.79302347981226","10.79302347981226"
"336","10.904154977768156","10.904154977768156","10.904154977768156"
"338","10.721222574676156","10.721222574676156","10.721222574676156"
"340","10.703895436172242","10.703895436172242","10.703895436172242"
"342","10.829835591090523","10.829835591090523","10.829835591090523"
"344","10.65198245131465","10.65198245131465","10.65198245131465"
"346","10.806142813307243","10.806142813307243","10.806142813307243"
"348","10.672938077532342","10.672938077532342","10.672938077532342"
"350","10.669101968778977","10.669101968778977","10.669101968778977"
"352","10.645028170073465","10.645028170073465","10.645028170073465"
"354","10.698077315386172","10.698077315386172","10.698077315386172"
