"Step","perplexity_eval - NIH ExPorter","perplexity_eval - NIH ExPorter__MIN","perplexity_eval - NIH ExPorter__MAX"
"306","9.839628244534673","9.839628244534673","9.839628244534673"
"308","9.892680150814623","9.892680150814623","9.892680150814623"
"310","10.033894087605162","10.033894087605162","10.033894087605162"
"312","9.907314068952184","9.907314068952184","9.907314068952184"
"314","9.34213674195","9.34213674195","9.34213674195"
"316","9.665752516304105","9.665752516304105","9.665752516304105"
"318","9.754869379435377","9.754869379435377","9.754869379435377"
"320","9.655409709030405","9.655409709030405","9.655409709030405"
"322","9.581634570965088","9.581634570965088","9.581634570965088"
"324","9.808262034965928","9.808262034965928","9.808262034965928"
"326","9.569731809910696","9.569731809910696","9.569731809910696"
"328","9.42908230847867","9.42908230847867","9.42908230847867"
"330","9.561784644288876","9.561784644288876","9.561784644288876"
"332","9.636820067012891","9.636820067012891","9.636820067012891"
"334","9.761892740893517","9.761892740893517","9.761892740893517"
"336","9.860093315062755","9.860093315062755","9.860093315062755"
"338","9.750482166142474","9.750482166142474","9.750482166142474"
"340","9.789715979762391","9.789715979762391","9.789715979762391"
"342","9.884959084972454","9.884959084972454","9.884959084972454"
"344","9.619370098832812","9.619370098832812","9.619370098832812"
"346","9.692966785273986","9.692966785273986","9.692966785273986"
"348","9.478701252466552","9.478701252466552","9.478701252466552"
"350","9.55559410904623","9.55559410904623","9.55559410904623"
"352","9.557936596895733","9.557936596895733","9.557936596895733"
"354","9.643316413313467","9.643316413313467","9.643316413313467"
