"Step","k2 ministage eval - mbpp@10","k2 ministage eval - mbpp@10__MIN","k2 ministage eval - mbpp@10__MAX","k2 eval spike 2 - mbpp@10","k2 eval spike 2 - mbpp@10__MIN","k2 eval spike 2 - mbpp@10__MAX","k2 eval spike 1 - mbpp@10","k2 eval spike 1 - mbpp@10__MIN","k2 eval spike 1 - mbpp@10__MAX","k2 eval - mbpp@10","k2 eval - mbpp@10__MIN","k2 eval - mbpp@10__MAX"
"282","","","","","","","","","","49.6","49.6","49.6"
"285","","","","","","","","","","53.2","53.2","53.2"
"288","","","","","","","","","","52.4","52.4","52.4"
"291","","","","","","","","","","52.6","52.6","52.6"
"294","","","","","","","","","","51","51","51"
"297","","","","","","","","","","54.8","54.8","54.8"
"300","","","","","","","","","","51.8","51.8","51.8"
"303","","","","","","","","","","51.8","51.8","51.8"
"306","","","","","","","","","","49.2","49.2","49.2"
"309","","","","","","","","","","52.4","52.4","52.4"
"312","","","","","","","","","","55.6","55.6","55.6"
"315","","","","","","","","","","54.4","54.4","54.4"
"318","","","","","","","","","","51.6","51.6","51.6"
"321","","","","","","","","","","50.6","50.6","50.6"
"324","","","","","","","","","","49.8","49.8","49.8"
"327","","","","","","","","","","52.4","52.4","52.4"
"330","","","","","","","","","","52","52","52"
"333","","","","","","","","","","54.8","54.8","54.8"
"336","","","","","","","","","","53","53","53"
"339","","","","","","","","","","53.4","53.4","53.4"
"342","","","","","","","","","","54.4","54.4","54.4"
"345","","","","","","","","","","53.6","53.6","53.6"
"348","","","","","","","","","","54.4","54.4","54.4"
"351","","","","","","","","","","52","52","52"
"354","","","","","","","","","","49.2","49.2","49.2"
"357","","","","","","","","","","37","37","37"
"360","","","","","","","","","","50.6","50.6","50.6"
"361","47.6","47.6","47.6","","","","","","","","",""
"362","50.4","50.4","50.4","","","","","","","","",""
"363","46.8","46.8","46.8","","","","","","","","",""
"364","53.2","53.2","53.2","","","","","","","","",""
"365","49.6","49.6","49.6","","","","","","","","",""
"366","50.2","50.2","50.2","","","","","","","","",""
"367","21.6","21.6","21.6","","","","","","","","",""
"368","51.4","51.4","51.4","","","","","","","","",""
"369","51.6","51.6","51.6","","","","","","","","",""
"370","49.4","49.4","49.4","","","","","","","","",""
"371","34","34","34","","","","","","","","",""
"372","51.2","51.2","51.2","","","","","","","","",""
"373","44.6","44.6","44.6","","","","","","","","",""
"374","56.8","56.8","56.8","","","","","","","","",""
"375","52.4","52.4","52.4","","","","","","","","",""
"376","55.6","55.6","55.6","","","","","","","","",""
"377","55.2","55.2","55.2","","","","","","","","",""
"378","56.6","56.6","56.6","","","","","","","","",""
"379","59","59","59","","","","","","","","",""
"380","56.8","56.8","56.8","","","","","","","","",""
