"Step","k2 ministage eval - race@0","k2 ministage eval - race@0__MIN","k2 ministage eval - race@0__MAX","k2 eval spike 2 - race@0","k2 eval spike 2 - race@0__MIN","k2 eval spike 2 - race@0__MAX","k2 eval spike 1 - race@0","k2 eval spike 1 - race@0__MIN","k2 eval spike 1 - race@0__MAX","k2 eval - race@0","k2 eval - race@0__MIN","k2 eval - race@0__MAX"
"204","","","","","","","40.8","40.8","40.8","41","41","41"
"206","","","","","","","41.7","41.7","41.7","","",""
"207","","","","","","","","","","40.4","40.4","40.4"
"208","","","","","","","41.6","41.6","41.6","","",""
"210","","","","","","","41","41","41","40.4","40.4","40.4"
"212","","","","","","","41.3","41.3","41.3","","",""
"213","","","","","","","","","","40.2","40.2","40.2"
"214","","","","","","","40.6","40.6","40.6","","",""
"216","","","","","","","41.3","41.3","41.3","40.8","40.8","40.8"
"218","","","","","","","41","41","41","","",""
"219","","","","","","","","","","40","40","40"
"220","","","","","","","41.2","41.2","41.2","","",""
"222","","","","","","","40.3","40.3","40.3","40.8","40.8","40.8"
"224","","","","","","","40.5","40.5","40.5","","",""
"225","","","","","","","","","","41.4","41.4","41.4"
"226","","","","","","","39.7","39.7","39.7","","",""
"228","","","","","","","","","","41.5","41.5","41.5"
"231","","","","","","","","","","40.5","40.5","40.5"
"234","","","","","","","","","","41.4","41.4","41.4"
"237","","","","","","","","","","40.4","40.4","40.4"
"240","","","","","","","41.3","41.3","41.3","41.5","41.5","41.5"
"243","","","","","","","","","","40.3","40.3","40.3"
"246","","","","","","","","","","39.9","39.9","39.9"
"249","","","","","","","","","","40.1","40.1","40.1"
"252","","","","","","","","","","40.3","40.3","40.3"
"255","","","","","","","","","","42","42","42"
"258","","","","","","","","","","42.8","42.8","42.8"
"261","","","","","","","","","","40.7","40.7","40.7"
"264","","","","","","","","","","40.7","40.7","40.7"
"267","","","","","","","","","","40.5","40.5","40.5"
"270","","","","","","","","","","41.1","41.1","41.1"
"273","","","","","","","","","","41.9","41.9","41.9"
"276","","","","","","","","","","40.9","40.9","40.9"
"279","","","","","","","","","","42.4","42.4","42.4"
"282","","","","","","","","","","40.7","40.7","40.7"
"285","","","","","","","","","","40.5","40.5","40.5"
"288","","","","","","","","","","40.4","40.4","40.4"
"291","","","","","","","","","","39.2","39.2","39.2"
"294","","","","","","","","","","39.5","39.5","39.5"
"297","","","","","","","","","","40.9","40.9","40.9"
"300","","","","","","","","","","41.1","41.1","41.1"
"303","","","","","","","","","","40.5","40.5","40.5"
"306","","","","","","","","","","40.4","40.4","40.4"
"309","","","","","","","","","","40.8","40.8","40.8"
"312","","","","","","","","","","40.8","40.8","40.8"
"315","","","","","","","","","","40","40","40"
"318","","","","","","","","","","40.4","40.4","40.4"
"321","","","","","","","","","","40.6","40.6","40.6"
"324","","","","","","","","","","41.7","41.7","41.7"
"327","","","","","","","","","","41.2","41.2","41.2"
"330","","","","","","","","","","40.2","40.2","40.2"
"333","","","","","","","","","","40.7","40.7","40.7"
"336","","","","","","","","","","41.1","41.1","41.1"
"339","","","","","","","","","","41.5","41.5","41.5"
"342","","","","","","","","","","40.8","40.8","40.8"
"345","","","","","","","","","","41.1","41.1","41.1"
"348","","","","","","","","","","40.7","40.7","40.7"
"351","","","","","","","","","","40.1","40.1","40.1"
"354","","","","","","","","","","40.1","40.1","40.1"
"357","","","","","","","","","","40.8","40.8","40.8"
"360","","","","","","","","","","41","41","41"
"361","40.1","40.1","40.1","","","","","","","","",""
"362","39.7","39.7","39.7","","","","","","","","",""
"363","40.3","40.3","40.3","","","","","","","","",""
"364","41.6","41.6","41.6","","","","","","","","",""
"365","39.9","39.9","39.9","","","","","","","","",""
"366","40.4","40.4","40.4","","","","","","","","",""
"367","41.1","41.1","41.1","","","","","","","","",""
"368","40.6","40.6","40.6","","","","","","","","",""
"369","41.1","41.1","41.1","","","","","","","","",""
"370","40.4","40.4","40.4","","","","","","","","",""
"371","40.3","40.3","40.3","","","","","","","","",""
"372","40.1","40.1","40.1","","","","","","","","",""
"373","41.1","41.1","41.1","","","","","","","","",""
"374","40.4","40.4","40.4","","","","","","","","",""
"375","40.3","40.3","40.3","","","","","","","","",""
"376","40.6","40.6","40.6","","","","","","","","",""
"377","42","42","42","","","","","","","","",""
"378","41","41","41","","","","","","","","",""
"379","41.1","41.1","41.1","","","","","","","","",""
"380","41.1","41.1","41.1","","","","","","","","",""
