"Step","k2 ministage eval - medmcqa@5","k2 ministage eval - medmcqa@5__MIN","k2 ministage eval - medmcqa@5__MAX","k2 eval spike 2 - medmcqa@5","k2 eval spike 2 - medmcqa@5__MIN","k2 eval spike 2 - medmcqa@5__MAX","k2 eval spike 1 - medmcqa@5","k2 eval spike 1 - medmcqa@5__MIN","k2 eval spike 1 - medmcqa@5__MAX","k2 eval - medmcqa@5","k2 eval - medmcqa@5__MIN","k2 eval - medmcqa@5__MAX"
"189","","","","","","","","","","50.6","50.6","50.6"
"190","","","","50.2","50.2","50.2","48.2","48.2","48.2","","",""
"192","","","","50.1","50.1","50.1","49.7","49.7","49.7","49.9","49.9","49.9"
"194","","","","50.6","50.6","50.6","47.8","47.8","47.8","","",""
"195","","","","","","","","","","50.1","50.1","50.1"
"196","","","","50.5","50.5","50.5","47.6","47.6","47.6","","",""
"198","","","","50.3","50.3","50.3","47.8","47.8","47.8","49.2","49.2","49.2"
"200","","","","49.4","49.4","49.4","48.6","48.6","48.6","","",""
"201","","","","","","","","","","49.9","49.9","49.9"
"202","","","","","","","49.2","49.2","49.2","","",""
"204","","","","","","","48","48","48","49.7","49.7","49.7"
"206","","","","","","","48.6","48.6","48.6","","",""
"207","","","","","","","","","","49.7","49.7","49.7"
"208","","","","","","","50.3","50.3","50.3","","",""
"210","","","","","","","51","51","51","50.5","50.5","50.5"
"212","","","","","","","49.2","49.2","49.2","","",""
"213","","","","","","","","","","51.2","51.2","51.2"
"214","","","","","","","47.8","47.8","47.8","","",""
"216","","","","","","","48.9","48.9","48.9","51","51","51"
"218","","","","","","","49.1","49.1","49.1","","",""
"219","","","","","","","","","","51.2","51.2","51.2"
"220","","","","","","","47.5","47.5","47.5","","",""
"222","","","","","","","49.1","49.1","49.1","50.5","50.5","50.5"
"224","","","","","","","50.2","50.2","50.2","","",""
"225","","","","","","","","","","50.1","50.1","50.1"
"226","","","","","","","50.8","50.8","50.8","","",""
"228","","","","","","","","","","50.2","50.2","50.2"
"231","","","","","","","","","","51.9","51.9","51.9"
"234","","","","","","","","","","52.4","52.4","52.4"
"237","","","","","","","","","","52.5","52.5","52.5"
"240","","","","","","","49.6","49.6","49.6","52.5","52.5","52.5"
"243","","","","","","","","","","52","52","52"
"246","","","","","","","","","","52.4","52.4","52.4"
"249","","","","","","","","","","52.7","52.7","52.7"
"252","","","","","","","","","","52.9","52.9","52.9"
"255","","","","","","","","","","52.6","52.6","52.6"
"258","","","","","","","","","","52.5","52.5","52.5"
"261","","","","","","","","","","53.6","53.6","53.6"
"264","","","","","","","","","","51.7","51.7","51.7"
"267","","","","","","","","","","53.2","53.2","53.2"
"270","","","","","","","","","","54.5","54.5","54.5"
"273","","","","","","","","","","54.1","54.1","54.1"
"276","","","","","","","","","","54.8","54.8","54.8"
"279","","","","","","","","","","53.7","53.7","53.7"
"282","","","","","","","","","","52.6","52.6","52.6"
"285","","","","","","","","","","54.7","54.7","54.7"
"288","","","","","","","","","","54.1","54.1","54.1"
"291","","","","","","","","","","54.1","54.1","54.1"
"294","","","","","","","","","","55.5","55.5","55.5"
"297","","","","","","","","","","54.5","54.5","54.5"
"300","","","","","","","","","","55.1","55.1","55.1"
"303","","","","","","","","","","54.5","54.5","54.5"
"306","","","","","","","","","","54.6","54.6","54.6"
"309","","","","","","","","","","54.6","54.6","54.6"
"312","","","","","","","","","","55.7","55.7","55.7"
"315","","","","","","","","","","55.6","55.6","55.6"
"318","","","","","","","","","","55.8","55.8","55.8"
"321","","","","","","","","","","56.4","56.4","56.4"
"324","","","","","","","","","","56.4","56.4","56.4"
"327","","","","","","","","","","55.7","55.7","55.7"
"330","","","","","","","","","","56","56","56"
"333","","","","","","","","","","56.7","56.7","56.7"
"336","","","","","","","","","","55.9","55.9","55.9"
"339","","","","","","","","","","56.2","56.2","56.2"
"342","","","","","","","","","","56.2","56.2","56.2"
"345","","","","","","","","","","55.6","55.6","55.6"
"348","","","","","","","","","","56.1","56.1","56.1"
"351","","","","","","","","","","55.8","55.8","55.8"
"354","","","","","","","","","","56.2","56.2","56.2"
"357","","","","","","","","","","55.7","55.7","55.7"
"360","","","","","","","","","","55.7","55.7","55.7"
"361","52.1","52.1","52.1","","","","","","","","",""
"362","51.6","51.6","51.6","","","","","","","","",""
"363","51.9","51.9","51.9","","","","","","","","",""
"364","50.9","50.9","50.9","","","","","","","","",""
"365","50.6","50.6","50.6","","","","","","","","",""
"366","48.6","48.6","48.6","","","","","","","","",""
"367","50.7","50.7","50.7","","","","","","","","",""
"368","51.1","51.1","51.1","","","","","","","","",""
"369","50.7","50.7","50.7","","","","","","","","",""
"370","50","50","50","","","","","","","","",""
"371","51.7","51.7","51.7","","","","","","","","",""
"372","51.6","51.6","51.6","","","","","","","","",""
"373","52.2","52.2","52.2","","","","","","","","",""
"374","52.4","52.4","52.4","","","","","","","","",""
"375","52.6","52.6","52.6","","","","","","","","",""
"376","52.7","52.7","52.7","","","","","","","","",""
"377","52.2","52.2","52.2","","","","","","","","",""
"378","53.2","53.2","53.2","","","","","","","","",""
"379","53.4","53.4","53.4","","","","","","","","",""
"380","53.5","53.5","53.5","","","","","","","","",""
